"y","group","x"
0,"1",0.253545895952154
1,"1",-3.21033065200067
1,"1",7.67363737868284
1,"1",4.62028723401985
0,"1",9.16382697455433
0,"1",-9.19331176270782
1,"1",-5.05501443845608
0,"1",-9.11300470411061
0,"1",-27.1873286911384
1,"1",2.99115240945037
0,"1",11.164604096599
0,"1",6.04214639349701
0,"1",-11.9703070000939
0,"1",-7.65522282346404
0,"1",-16.0994766817635
1,"1",11.0836972264499
0,"1",-3.00959706233454
1,"1",-8.70589891607352
0,"1",7.91433313543079
0,"1",-2.28220820842551
0,"1",-13.6608821004985
0,"1",-0.214949296686606
0,"1",0.239935259979376
0,"1",1.47313080054922
0,"1",3.69007145506024
1,"1",-5.64626339927158
0,"1",5.73226203467392
0,"1",-10.8174130309495
0,"1",12.118881712854
1,"1",-5.38890579308286
0,"1",3.97983993991972
0,"1",5.52173767879061
0,"1",-2.69186735460409
0,"1",-14.4052928568428
1,"1",-3.05520259781861
0,"1",-5.23176971392044
1,"1",-3.51325809011026
0,"1",7.60962919543897
1,"1",6.16254484502611
0,"1",2.13941775163468
0,"1",-6.39559697752883
0,"1",23.5198706181665
0,"1",-14.6398261628251
0,"1",-14.4657566370272
0,"1",3.06285701225093
0,"1",24.5509893640732
0,"1",-2.94471035567019
0,"1",-11.3120707343694
0,"1",-3.8825829534315
0,"1",22.939679228484
0,"1",-6.9426720179717
0,"1",-4.56608118351117
0,"1",-2.43020325407747
1,"1",6.73304907083598
0,"1",6.01734429414499
0,"1",-4.0976879407338
1,"1",-17.3506070186524
0,"1",16.937793602945
1,"1",-11.247400169409
0,"1",-4.40410472012168
0,"1",1.93852156669244
0,"1",3.79897806243585
1,"1",-10.9903345098185
1,"1",2.81005038560025
0,"1",7.97815920683342
0,"1",4.27329623454434
0,"1",7.82857219262539
0,"1",-7.978714163746
1,"1",-1.15789978314883
0,"1",9.86859445463065
0,"1",4.6622659195066
0,"1",3.58229857594084
0,"1",9.59993469400787
0,"1",-4.04586073166549
0,"1",5.6349178578053
1,"1",-7.36952355643059
1,"1",-2.37164587614524
0,"1",1.39117757423062
0,"1",5.11600994561872
0,"1",-23.9414370971461
0,"1",10.2287928755749
0,"1",3.79595498336323
0,"1",12.150743374417
0,"1",9.93381196577151
1,"1",5.82341498786382
0,"1",1.58072229186269
1,"1",5.88202008046843
1,"1",-0.589412733924321
0,"1",5.80969955400495
1,"1",3.27864633006818
0,"1",7.59097411322674
0,"1",-6.08830979098427
0,"1",-3.52289612769367
1,"1",3.64446579663535
